sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
Our 2021 Sustainability Report builds on our sustainability progress over the last decade—particularly since we cofounded The Climate Pledge in 2019 and announced our commitment to achieve net-zero carbon emissions across our business by 2040.,2,About This Report,target,firm,,,2040,,0.25,data/raw/amazon/2021_sustainability_report.pdf
"Customer reviews, 1-Click shopping, personalized recommendations, Prime, Fulfillment by Amazon, Amazon Web Services (AWS), Kindle Direct Publishing, Kindle, Career Choice, Fire tablets, Fire TV, Amazon Echo, Alexa, Just Walk Out technology, Amazon Studios, and The Climate Pledge are some of the things pioneered by Amazon.",2,About Amazon,target,firm,1,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf
"In 2019, we co-founded The Climate Pledge and made a commitment to achieve net-zero carbon by 2040—10 years ahead of the Paris Agreement.",3,About Amazon > Delivering Progress for the Planet,target,firm,"2019,",2040,2040,,0.75,data/raw/amazon/2021_sustainability_report.pdf
"We invited others to join us and there are now more than 300 businesses and organizations across 51 industries and 29 countries that have signed the Pledge, which means we are collectively coming at the climate crisis from nearly every sector and nearly every angle.",3,About Amazon > Delivering Progress for the Planet,target,firm,300,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf
"As part of our efforts to decarbonize our business, we became the world’s largest corporate purchaser of renewable energy in 2020, and last year, we reached 85% renewable energy across our business.",3,About Amazon > Delivering Progress for the Planet,achievement,achievement,85%,,,,0.33,data/raw/amazon/2021_sustainability_report.pdf
"We continue to expand our use of zero-emission transportation such as electric delivery vans, cargo bikes, and on-foot deliveries, and in 2021, more than 100 million packages were delivered to our customers’ doorsteps globally using zero-emission vehicles.",3,About Amazon > Delivering Progress for the Planet,achievement,achievement,100 million,,,global,0.67,data/raw/amazon/2021_sustainability_report.pdf
"We are also investing in nature-based solutions, and last year, we helped to create the Lowering Emissions by Accelerating Forest finance (LEAF) Coalition—a global initiative of governments and leading companies that has already mobilized $1 billion to protect the world’s tropical rainforests.",3,About Amazon > Delivering Progress for the Planet,other,,1 billion,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
We will continue to act boldly to address climate change and to invest in solutions to help meet our commitment to reach net-zero carbon across our operations by 2040.,3,About Amazon > Delivering Progress for the Planet,target,firm,,,2040,own operations,0.5,data/raw/amazon/2021_sustainability_report.pdf
"Announced our first renewable energy project in Singapore, a 62-megawatt (MW) solar project made up of a series of solar panels mounted on a ground system that will generate 80,000 MWh of clean energy annually.",5,Sustainability Around the Globe > South Africa,attribute,firm,"80,000 MWh",,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"Once online, our renewable projects in Canada will produce more than 1 million megawatt-hours (MWh) each year.",5,Sustainability Around the Globe > South Africa,other,firm,1 million,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"Launched our first operational solar project in South Africa, expected to generate up to 28,000 MWh of renewable energy per year for the grid.",5,Sustainability Around the Globe > South Africa,achievement,achievement,"28,000 MWh",,,,0.33,data/raw/amazon/2021_sustainability_report.pdf
The Climate Pledge Over 300 signatories have joined Amazon in signing The Climate Pledge.,9,Environment Investing in Positive Impact > Reach net-zero carbon emissions across our operations by 2040,target,firm,300,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf
"Products In 2021, more than 370 million Climate Pledge Friendly units were shipped to Amazon customers and we welcomed 20 new third‑party sustainability certifications to the Climate Pledge Friendly program.",9,Environment Investing in Positive Impact > Reach net-zero carbon emissions across our operations by 2040,target,firm,370 million,,,,0.25,data/raw/amazon/2021_sustainability_report.pdf
"Shipment Zero In 2021, more than 100 million packages were delivered to our customers’ doorsteps globally using zero-emission vehicles.",9,Our Environmental Commitments and Progress,achievement,achievement,100 million,,,global,0.67,data/raw/amazon/2021_sustainability_report.pdf
"Since 2015, we have reduced per-shipment packaging weight by 38% and eliminated over 1.5 million tons of packaging.",9,Our Environmental Commitments and Progress,achievement,achievement,38%,,,,0.33,data/raw/amazon/2021_sustainability_report.pdf
"That’s why we co-founded The Climate Pledge, a commitment to reach net-zero carbon by 2040—10 years ahead of the Paris Agreement.",10,Our Carbon Footprint,target,firm,10,2040,2040,,0.75,data/raw/amazon/2021_sustainability_report.pdf
"With all of our growth in 2021, our absolute carbon emissions increased by 18% in 2021; however, importantly, our carbon intensity decreased by 1.9%—this is the third year in a row we’ve seen our carbon intensity decrease.",10,Our Carbon Footprint,other,,18%,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"The path to net-zero carbon has many obstacles, but we thrive on big challenges.",10,Our Carbon Footprint,attribute,,,,,,0.0,data/raw/amazon/2021_sustainability_report.pdf
"In 2021, we reached 85% renewable energy across our operations, and we are on a path to achieve 100% by 2025—five years ahead of the original target of 2030.",10,Our Carbon Footprint,target,achievement,85%,,2025,own operations,0.75,data/raw/amazon/2021_sustainability_report.pdf
This transition to 100% renewable energy benefits our customers as well.,10,Our Carbon Footprint,other,,100%,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
Studies by the international analyst firm 451 Research found that moving on-premises computing workloads to AWS can lower workload carbon footprint by nearly 80% compared to surveyed enterprise data centers.,10,Our Carbon Footprint,other,,80%,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
That number could improve to as high as 96% once AWS is powered with 100% renewable energy—a target we are on path to meet by 2025.,10,Our Carbon Footprint,target,hedged,96%,,2025,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"We plan to make half of our shipments net-zero carbon by 2030, and to do that, we are creating a worldwide fleet of zero-emission vehicles.",11,Our Carbon Footprint > Developing More-Sustainable Transportation Infrastructure,target,hedged,"2030,",2030,2030,,0.75,data/raw/amazon/2021_sustainability_report.pdf
"Amazon is at the heart of such industry initiatives and government partnerships, including the Cargo Owners for Zero Emission Vessels network (coZEV), the First Movers Coalition, the Sustainable Aviation Buyers Alliance Aviators Group (SABA), and the Clean Energy Demand Initiative.",11,Our Carbon Footprint > Developing More-Sustainable Transportation Infrastructure,attribute,,,,,,0.0,data/raw/amazon/2021_sustainability_report.pdf
"Via The Climate Pledge Fund, Amazon has invested in CarbonCure Technologies, which enables concrete producers to make the same high-quality concrete with a lower carbon footprint, and Brimstone Energy, which seeks to make cement carbonneutral through a process focused on calcium silicate rocks, which have no embedded CO2, as well as magnesium species, which passively absorb CO2.",11,Our Carbon Footprint > Constructing MoreSustainable Buildings,target,firm,,,,,0.0,data/raw/amazon/2021_sustainability_report.pdf
"Many of our fulfillment facilities throughout the U.S., Europe, and India are powered by on-site solar, where a rooftop installation can power up to 80% of the facility’s energy use.",11,Our Carbon Footprint > Constructing MoreSustainable Buildings,other,,80%,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"For example, our design standards now require concrete with a 20% reduction in embodied carbon compared with standard concrete for new U.S. data centers, and we are expanding this requirement globally.",11,Our Carbon Footprint > Constructing MoreSustainable Buildings,other,,20%,,,global,1.0,data/raw/amazon/2021_sustainability_report.pdf
"Also, instead of using steel from oxygen furnaces that burn coal or gas, we are moving to steel from electric-arc furnaces, which use scrap steel and can create steel using renewable energy and up to 100% recycled content.",11,Our Carbon Footprint > Constructing MoreSustainable Buildings,attribute,,100%,,,,0.5,data/raw/amazon/2021_sustainability_report.pdf
Measurement is critical as we work toward our goal of netzero carbon by 2040—we have to measure and understand emissions in order to eliminate them.,12,Our Carbon Footprint > Decarbonizing the Supply Chain,target,firm,,2040,2040,,0.5,data/raw/amazon/2021_sustainability_report.pdf
"One example of this is through our partnership with the We Mean Business Coalition, a group of nonprofits focused on accelerating the transition to a net-zero economy.",12,Our Carbon Footprint > Decarbonizing the Supply Chain,attribute,,,,,,0.0,data/raw/amazon/2021_sustainability_report.pdf
