sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"Net zero operations« – By the end of 2025, we reduced operational emissions by 37% against the 2019 baseline.",3,Caring for our planet > Performance in 2025,target,achievement,37%,2019,2025,,0.75,data/raw/bp/2025_sustainability_report.pdf,False,False
"This is well in excess of our target of 20%, even though in 2025 absolute emissions increased, largely due to bp’s overall increase in production and changes to our portfolio.",3,Caring for our planet > Performance in 2025,other,,20%,,,,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"Net zero sales« – In 2025 the average carbon intensity of the energy products« sold was 79gCO2e/MJ, meaning we achieved our target to reduce the average lifecycle intensity by 5% by the end of 2025 (against the 2019 baseline).",3,Caring for our planet > Performance in 2025,target,achievement,5%,2019,2025,,0.75,data/raw/bp/2025_sustainability_report.pdf,False,False
"Outside of our net zero aims, we continue to invest with discipline in the energy transition, in ways that are capital-light for bp, and which can leverage bp’s core capabilities for competitive returns and growth.",3,Caring for our planet > Performance in 2025,attribute,hedged,,,,,0.0,data/raw/bp/2025_sustainability_report.pdf,False,False
"Biodiversity – We achieved all three targets for 2025, with all new in-scope projects implementing net positive impact plans; biodiversity enhancement plans in place at 100% of our major operating sites in sensitive areas; and funding provided for eight restoration projects in the UK, Trinidad and Tobago, Brazil, Azerbaijan, Georgia, Türkiye and the US.",3,Caring for our planet > Performance in 2025,achievement,achievement,100%,,,,0.33,data/raw/bp/2025_sustainability_report.pdf,False,False
"They guide the way we work, underpin our focus on safety and support our sustainability frame and net zero«, people and planet aims.",5,Our approach,attribute,hedged,,,,,0.0,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our 2025 engagement with selected NOJV partners focused on the topics of net zero operations«, biodiversity and human rights.",11,Sustainability in our processes > Influencing non-operated joint ventures,attribute,,,,,,0.0,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our ambition is to be a net zero« company by 2050 or sooner, and to help the world get to net zero.",12,Getting to net zero,target,hedged,,,2050,,0.25,data/raw/bp/2025_sustainability_report.pdf,False,False
We have two net zero aims: for our operations and the energy products« we sell.,13,Our net zero aims,attribute,hedged,,,,own operations,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our aim is to reach net zero« by 2050 or sooner for Scope 1 and 2 emissions within bp’s operational control (on a CO2e basis), including by maintaining ‘near-zero’ methane intensity« across our operated producing assets, enabled by supportive government policies.",13,Our net zero aims > Net zero operations,target,hedged,,,2050,Scope 1,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our aim is to reduce to net zero the average lifecycle carbon intensity« of the energy products we sell by 2050 or sooner, enabled by supportive government policies and the decarbonization of energy demand.",13,Our net zero aims > Net zero sales,target,hedged,,,2050,,0.25,data/raw/bp/2025_sustainability_report.pdf,False,False
Both of our net zero aims make explicit what is needed to enable their delivery – and delivery of the associated interim targets and aims.,13,Our net zero aims > Net zero sales,attribute,hedged,,,,,0.0,data/raw/bp/2025_sustainability_report.pdf,False,False
"We believe our net zero ambition and aims, taken together, are consistent with the goals of the Paris Agreement.",13,Our net zero aims > Consistency of our net zero ambition and aims with the Paris goals,target,hedged,,,,,0.0,data/raw/bp/2025_sustainability_report.pdf,False,False
This change has a less than 1% impact on reported operational emissions.,13,Our net zero aims > Investment into transition businesses«,other,,1%,,,,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"The percentage change is calculated from the source data instead of the rounded carbon intensity number. e We see abatement as including netting by means of offsets as necessary, in order to achieve net zero for the value chains in which we participate, in line with our ambition and aims.",13,Our net zero aims > Investment into transition businesses«,target,hedged,,,,value chain,0.25,data/raw/bp/2025_sustainability_report.pdf,False,False
"33.2 30.4 31.1 32.8 33.7 Our aim is to reach net zero« by 2050 or sooner for Scope 1 and 2 emissions within bp’s operational control (on a CO2e basis), including by maintaining ‘near-zero’a methane intensity« across our operated producing assets, enabled by supportive government policies.",14,Our net zero aims > Investment into transition businesses«,target,hedged,33.2,,2050,Scope 1,0.75,data/raw/bp/2025_sustainability_report.pdf,False,False
"These emissions were 54.5MtCO2e in 2019c, our baseline year.",14,Our net zero aims > Progress and targets/aims,other,,54.5MtCO2e,,,,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"We achieved a reduction of 37%c against a targeted 20% reduction in our operational emissions by the end of 2025 and we are aiming for a 45-50% reduction by the end of 2030, both against our 2019 baseline.",14,Our net zero aims > Performance and actions in 2025,target,hedged,37%,2019,2025,,0.75,data/raw/bp/2025_sustainability_report.pdf,False,False
We also achieved our 2025 target for methane intensity of 0.20%.,14,Our net zero aims > Performance and actions in 2025,achievement,achievement,0.20%,,,,0.33,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our methane intensity for 2025 was 0.04%, compared with 0.07% in 2024.",14,Our net zero aims > Performance and actions in 2025,other,,0.04%,,,,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"Our combined Scope 1 and 2 emissions covered by this aim were 34.3MtCO2ec,d – a decrease of 37% from our 2019 baseline.",14,Our net zero aims > Performance and actions in 2025,other,hedged,34.3MtCO2e,2019,,Scope 1,1.0,data/raw/bp/2025_sustainability_report.pdf,False,False
The total to 2025 includes 18MtCO2e attributable to divestments and 5.7MtCO2e in emissions reduction activities.,14,Our net zero aims > Performance and actions in 2025,other,,18MtCO2e,,,,0.5,data/raw/bp/2025_sustainability_report.pdf,False,False
"Compared with 2024 (33.6MtCO2e), Scope 1 and 2 emissions increased in 2025 due to growth in our portfolio and seven major project« start-ups.",14,Our net zero aims > Performance and actions in 2025,other,,33.6MtCO2e,2024,,Scope 1,1.0,data/raw/bp/2025_sustainability_report.pdf,False,False
