sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"While we work towards that, our methane intensity has come down by more than 40% since 2019 (from 0.12 to 0.07%).",3,Reimagining energy for people and our planet > Leaning into greening,other,hedged,40%,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
We have also increased our net zero aims.,3,Reimagining energy for people and our planet > Focused on delivery,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"On aim 1, we are now aiming to cut our operational emissions in half by 2030 (up from 30-35%).",3,Reimagining energy for people and our planet > Focused on delivery,target,hedged,35%,,2030,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"And on aim 3 (covering the lifecycle emissions for the energy products we sell) we now aim to reduce carbon intensity to net zero by 2050 or sooner – up from 50% – and have increased the volume of emissions covered by this aim, which now includes physically traded sales of energy products.",3,Reimagining energy for people and our planet > Focused on delivery,target,hedged,50%,,2050,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"Uniquely among our peers, we are aiming to be net zero across operations, production and sales.",3,Reimagining energy for people and our planet > Focused on delivery,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"It means that by doubling down on five transition growth engines where we have real strengths – bioenergy, convenience, EV charging, renewables and hydrogen – we can grow as a company and at the same time advance towards our aim of net zero on the products we sell (aim 3).",3,Reimagining energy for people and our planet > Diversifying and decarbonizing,attribute,hedged,3,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"Against this backdrop, and as we have seen the world’s low carbon ambitions gather momentum, we have been in action across the three focus areas – net zero, people and planet.",4,Rooting our new strategy in sustainability > Sustainability in action,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
Perhaps the clearest example is Net Zero Teesside and the related projects that bp is leading in the NorthEast of England.,4,Rooting our new strategy in sustainability > Interconnected aims,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"We are working to develop firstof-a-kind gas-fired power generation with carbon capture, blue and green hydrogen, and further carbon capture capacity for storing emissions from UK industries.",4,Rooting our new strategy in sustainability > Interconnected aims,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"Another is by maintaining our focus on keeping energy flowing today while transforming bp to sustainably deliver more and more of the reliable, affordable, clean energy the world wants and needs into the future.",4,Embedding sustainability into the way we do business > Putting sustainability at the core of bp,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"In 2020, we set out our net zero ambition and a new strategy to become an integrated energy company.",6,Our strategy: from IOC to IEC,target,hedged,"2020,",,,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False
"Embedded across our strategy is our sustainability frame, which sets out our aims for getting to net zero, improving people’s lives and caring for our planet.",6,Low carbon energy > – Renewables – Hydrogen,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"Sustainability at bp is about creating value by connecting the business opportunities of the energy transition with our aims and objectives for people, our planet and getting to net zero.",7,Low carbon energy > Our aims and objectives,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
1 Net zero operations 2 Net zero production 3 Net zero sales 4 Reducing methane 5 More investment for new energies Be net zero across our entire operations on an absolute basis by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,1,,2050,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
Be net zero on an absolute basis across the carbon in our upstream oil and gas production by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,,2050,2050,upstream,0.75,data/raw/bp/2021_sustainability_report.pdf,False,False
Reduce to net zero the carbon intensity of the energy products we sell by 2050 or sooner.,8,Our sustainability aims > Five aims to get bp to net zero,target,,,,2050,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False
"Install methane measurement at all our existing major oil and gas processing sites by 2023, publish the data, and then drive a 50% reduction in methane intensity of our operations.",8,Our sustainability aims > Five aims to get bp to net zero,target,,50%,,2023,own operations,0.75,data/raw/bp/2021_sustainability_report.pdf,False,False
"6 Advocating 7 Incentivizing employees 8 Aligning associations 9 Transparency leader 10 Clean cities and corporates More actively advocate for policies that support net zero, including carbon pricing.",8,Our sustainability aims > Five aims to help the world get to net zero,attribute,hedged,6,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
Incentivize our global workforce to deliver on our aims and mobilize them to become advocates for net zero.,8,Our sustainability aims > Five aims to help the world get to net zero,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
Launch a new team to create integrated clean energy and mobility solutions.,8,Our sustainability aims > Five aims to help the world get to net zero,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
Develop enough clean energy to benefit more than 36 million people.,8,Our sustainability aims > Five aims to improve people’s lives,attribute,,36 million,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
Become water positive by 2035.,8,Our sustainability aims > Five aims to care for our planet,target,,,,2035,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False
"This helps underpin our future growth by expanding talent pipelines for established skillsets and newer ones, including many of the skills that bp and the world need to get to net zero.",16,Building on strong foundations > Education and employability,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"In 2021, our total air emissions reduced by 38% compared with 2020, largely due to reductions in flaring at some of our operating facilities, including US onshore operations.",18,Building on strong foundations > Air emissions,achievement,achievement,38%,2020,,,0.67,data/raw/bp/2021_sustainability_report.pdf,False,False
"Around 270kt of hazardous and nonhazardous waste was disposed of in 2021, a 4% decrease from around 280kt in 2020.",18,Building on strong foundations > Air emissions,other,,4%,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"In 2021 this influence focused on net zero operations, the measurement and abatement of methane emissions, biodiversity and human rights.",18,Building on strong foundations > Influencing non-operated joint ventures,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"In 2021, survey activity was carried out in an international protected area as part of the UK Net Zero Teesside project.",18,Building on strong foundations > Influencing non-operated joint ventures,attribute,,"2021,",,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"When bpx began operating its Permian assets in 2019, flaring intensity was over 16%.",20,Performance and progress > Reducing methane,other,,16%,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"In 2021, we continued to make progress against the five aims to help bp get to net zero we announced in February 2020.",21,Getting to net zero introduction,attribute,hedged,"2021,",,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"This progress, combined with our confidence in the business opportunities of the energy transition, has enabled us to accelerate two of our net zero aims.",21,Getting to net zero introduction,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"In parallel, the pace at which the world is moving to net zero is increasing, something we explore in the ‘New Momentum’ scenario in the 2022 bp Energy Outlook.",21,Getting to net zero introduction,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
"Our ambition is to be a net zero company by 2050 or sooner, and to help the world get to net zero.",21,Getting to net zero introduction > Read more: bp.com/energyoutlook,target,hedged,,,2050,,0.25,data/raw/bp/2021_sustainability_report.pdf,False,False
"We now aim to be net zero across operations, production and sales.",21,Getting to net zero introduction > Read more: bp.com/energyoutlook,attribute,hedged,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
For 2030 we are now aiming for a 1520% reduction in the lifecycle carbon intensity of these products against the 2019 baseline.,21,Getting to net zero introduction > Read more: bp.com/energyoutlook,other,hedged,1520%,2019,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"When we talk about helping the world get to net zero we mean achieving a balance between sources of anthropogenic emissions and removal by sinks of greenhouse gases, as set out in article 4.1 of the Paris Agreementh.",21,What do we mean when we talk about net zero?,attribute,,4.1,,,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
"To deliver our net zero ambition and aims, we recognize that the balance of investment between emissions reduction activities and deductions will be important.",21,What do we mean when we talk about net zero?,target,firm,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
We are aiming to increase capital expenditure on our low carbon businesses to $4-6 billion each year by 2030.,22,What role will divestments play in achieving our net zero aims?,target,hedged,6 billion,,2030,,0.5,data/raw/bp/2021_sustainability_report.pdf,False,False
This includes jurisdictions where we are advocating for effective policies and regulations to help the world get to net zero.,22,What role will divestments play in achieving our net zero aims?,attribute,,,,,,0.0,data/raw/bp/2021_sustainability_report.pdf,False,False
