sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"We believe near-zero methane should be an industry-wide ambition, which is why we supported and contributed expertise to the Oil and Gas Decarbonization Charter announced at COP28.",3,"Go to an online reference  Definitions in the glossary, pages 59-61 > Focused on delivery",target,hedged,,,,,0.0,data/raw/bp/2023_sustainability_report.pdf,False,False
"We continued to invest in our transition growth engines in 2023, adding 35% more EV charge points globally to bp pulse, growing our biogas supply volumes 80% year on year and expanding our renewables and hydrogen project pipelines.",3,"Go to an online reference  Definitions in the glossary, pages 59-61 > Focused on delivery",other,,35%,,,global,1.0,data/raw/bp/2023_sustainability_report.pdf,False,False
"And although it was a challenging year in many respects, I am pleased with the work we have done in support of the aims we set ourselves for net zero, people and planet.",4,"Letter from our EVP strategy, sustainability & ventures",attribute,hedged,,,,,0.0,data/raw/bp/2023_sustainability_report.pdf,False,False
This exceeds our 2025 target of a 20% emissions reduction although our operational emissions are expected to fluctuate as more new projects come online.,4,"Letter from our EVP strategy, sustainability & ventures > Progress on net zero",other,,20%,,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"While this adds to the challenge of reducing emissions, our work to do so continues. y On net zero sales (aim 3) – our target for 2025 is a 5% reduction in carbon intensity and we have now reached 3% compared with 2019. y On reducing methane (aim 4) – our first goal was to deploy our methane measurement approach across our operated upstream oil and gas assets by the end of 2023.",4,"Letter from our EVP strategy, sustainability & ventures > Progress on net zero",target,hedged,5%,2019,2023,upstream,1.0,data/raw/bp/2023_sustainability_report.pdf,False,False
"Our methane intensity in 2023 remained at 0.05%, based on our existing methodology.",4,"Letter from our EVP strategy, sustainability & ventures > Progress on net zero",other,,0.05%,,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
We believe that a just transition (aim 12) should be a key part of the world’s move towards net zero.,4,"Letter from our EVP strategy, sustainability & ventures > Focus on people",attribute,hedged,12,,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"Since launching our net zero aims in 2020 and our people and planet aims in 2021, we have been in action to deliver them.",7,2023 sustainability progress,attribute,hedged,"2021,",,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"Water assessments to improve efficiency Conducted assessments at four refineries, accounting for around 51% of our water consumption, to help identify areas where we can create efficiencies in water consumption.",7,2023 sustainability progress > Net zero operations,other,,51%,,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"Our approach to sustainability is targeted, systematic and collaborative – built on strong foundations that guide the way we work and support our net zero, people and planet aims.",8,In this section,attribute,hedged,,,,,0.0,data/raw/bp/2023_sustainability_report.pdf,False,False
"For example, in the UK the energy profits levy means in 2023 we paid 75% tax on our North Sea profits.",12,Our approach,other,,75%,,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"In 2023 our total air emissions remained relatively flat compared to 2022. bpx energy contributed to these results by reducing its non-methane hydrocarbon emissions by 5% through various interventions including electrification, compressor optimization, base well tie-ins, new well designs and flaring reduction projects.",15,‘Who we are’ > Policies and practices,other,,5%,2022,,,0.5,data/raw/bp/2023_sustainability_report.pdf,False,False
"It outlines objectives that align with our net zero, people and planet aims, along with core principles for achieving them, including prioritization, collaboration, industry action and capability building.",15,‘Who we are’ > Policies and practices,attribute,hedged,,,,,0.0,data/raw/bp/2023_sustainability_report.pdf,False,False
