sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"Our 2023 Sustainability Report is structured into three main categories: Environment, Value Chain, and People.",3,About This Report,other,,2023,,,value chain,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In the Environment section, we discuss scaling our work, partnering with others, and inventing new solutions to minimize our emissions, waste, and water use; increasing our use of carbon-free energy; and pioneering solutions to improve packaging, products, and the materials we use.",3,About This Report,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"In the Value Chain section, we discuss our commitment to respect the human rights of people connected to our global business, managing a responsible supply chain, creating sustainable products and using more sustainable materials, advancing supplier diversity, and having a positive impact on the communities where we operate.",3,About This Report,attribute,firm,,,,value chain; supply chain,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We set big goals and work backward to achieve them, such as The Climate Pledge, our goal to reach netzero carbon emissions by 2040, 10 years ahead of the Paris Agreement.",3,Introduction About Amazon,target,firm,"2040,",2040,2040,,0.75,data/raw/amazon/2023_sustainability_report.pdf
"On renewable energy, we set an ambitious goal to match 100% of the electricity consumed by our global operations with renewable energy by 2030, and we reached that goal in 2023—seven years early.",4,A Letter from Our Chief Sustainability Officer,target,achievement,100%,,2030,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"As we look to the future, we are steadfast in our Climate Pledge commitment to be net-zero carbon across our operations by 2040.",4,A Letter from Our Chief Sustainability Officer,target,firm,,,2040,own operations,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We will continue to lead and invest in creating carbon-free energy around the world at scale, including through solar, wind, nuclear, and other emerging energy technologies.",4,A Letter from Our Chief Sustainability Officer,attribute,firm,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Our progress toward a net-zero carbon business will not be linear, and each year as our various businesses grow and evolve, we will produce different results.",4,A Letter from Our Chief Sustainability Officer,attribute,firm,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Over the past five years, we’ve done this by encouraging companies to join The Climate Pledge—and we’re proud that over 500 have joined us and committed to be net-zero carbon 10 years ahead of the Paris Agreement.",4,A Letter from Our Chief Sustainability Officer,target,firm,500,,,,0.25,data/raw/amazon/2023_sustainability_report.pdf
The approximately 1.5 million people in Amazon’s global workforce are the key behind our successes—from enabling global fulﬁllment to delivering on sustainability initiatives.,5,Our Business,other,,1.5 million,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
A number below 100% indicates AWS is still working to meet the water positive goal.,6,Our Business,other,,100%,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We are working to innovate and scale solutions that minimize our emissions, waste, and water usage; increase our use of carbon-free energy; and pioneer new approaches for packaging, materials, and products..",8,Nearly 16.5K > In This Section,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Wind Wall, a wind farm located in California’s Tehachapi Mountains, generates carbon-free energy to AWS.",8,Nearly 16.5K > In This Section,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2019, we co-founded and committed to The Climate Pledge—our goal to reach net-zero carbon emissions by 2040, 10 years ahead of the Paris Agreement.",9,Nearly 16.5K > In This Section,target,firm,"2019,",2040,2040,,0.75,data/raw/amazon/2023_sustainability_report.pdf
"These are some of the reasons we co-founded and committed to The Climate Pledge in 2019—our goal to reach net-zero carbon emissions by 2040, 10 years ahead of the Paris Agreement—and have invited hundreds of companies to join us.",10,Our Approach,target,firm,2019,2040,2040,,0.75,data/raw/amazon/2023_sustainability_report.pdf
"Through direct funding, we aim to advance our own progress toward net-zero carbon emissions and help accelerate the widespread adoption of new technologies by making them more affordable and accessible.",10,Our Approach,attribute,hedged,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"We seek to advance and incentivize decarbonization by supporting policies that scale lower-emission fuels, drive lower-emission vehicle deployment and infrastructure, advance the deployment of carbon-free energy, modernize the grid, and accelerate investments in clean technologies.",10,Our Approach,attribute,hedged,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"In parallel to reducing and avoiding emissions throughout our business, we are also investing in carbon neutralization through additional, quantifiable, real, permanent, and socially beneficial offsets.",10,Our Approach,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, our absolute carbon emissions decreased by 3%.2 This overall decrease was driven by an 11% reduction in emissions from electricity (Scope 2) and a 5% decrease in indirect and supply chain emissions (Scope 3).",11,Amazon’s Carbon Footprint,achievement,achievement,3%,,,Scope 2; Scope 3; supply chain,0.67,data/raw/amazon/2023_sustainability_report.pdf
"We had a 7% increase in emissions from our direct operations (Scope 1), primarily from the use of transportation fuels.",11,Amazon’s Carbon Footprint,other,,7%,,,Scope 1,1.0,data/raw/amazon/2023_sustainability_report.pdf
"Our carbon intensity decreased for the fifth consecutive year, down 13% from 2022 to 2023.3 This metric demonstrates how we are working to decouple emissions growth from business growth.",11,Amazon’s Carbon Footprint,achievement,achievement,13%,2022,,,0.67,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, we invested in carbon abatement projects across Amazon.",11,Amazon’s Carbon Footprint,other,,"2023,",,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
Amazon’s Scope 1 emissions are primarily generated from the fuel used by our transportation and logistics fleet to deliver packages to customers.,11,Amazon’s Carbon Footprint > Scope 1: Direct Emissions and Operations,other,,1,,,Scope 1,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, our Scope 1 emissions increased 7% compared to 2022 and represented 21% of our total carbon footprint.",11,Amazon’s Carbon Footprint > Scope 1: Direct Emissions and Operations,achievement,achievement,7%,2022,,Scope 1,1.0,data/raw/amazon/2023_sustainability_report.pdf
2022 Carbon Footprint recalculated in accordance with updated Carbon Methodology.,11,Amazon’s Carbon Footprint > Amazon’s Carbon Footprint,other,,2022,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
The model is constantly learning and has helped reduce our use of packaging material since it launched in 2019.,12,Amazon’s Carbon Footprint > Amazon’s Carbon Footprint,other,achievement,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Globally, we shipped 12% of products in their own packaging in 2023.",12,Amazon’s Carbon Footprint > Amazon’s Carbon Footprint,other,,12%,,,global,1.0,data/raw/amazon/2023_sustainability_report.pdf
"We are excited to invest in technologies today that will help reduce our footprint in the future, such as scaling up our use of electric vehicles (EVs) and other lower-carbon vehicles to decrease our Scope 1 emissions.",12,Learn more about how we’re improving packaging,other,firm,1,,,Scope 1,1.0,data/raw/amazon/2023_sustainability_report.pdf
"Our Scope 2 emissions are from electricity used to power Amazon’s buildings, including data centers, office buildings, fulfillment centers, and grocery stores, and to charge EVs at our facilities.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,2,,,Scope 2,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, our Scope 2 emissions decreased by 11% compared to 2022 and represented 4% of our total carbon footprint.",12,Scope 2: Indirect Emissions from Purchased Electricity,achievement,achievement,11%,2022,,Scope 2,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, we are proud to have achieved our goal to match 100% of the electricity consumed by our global operations with renewable energy—seven years ahead of our original 2030 goal.",12,Scope 2: Indirect Emissions from Purchased Electricity,achievement,achievement,100%,,,,0.33,data/raw/amazon/2023_sustainability_report.pdf
"At the end of 2023, Amazon had invested in 513 global renewable energy projects, including 243 utility-scale wind and solar projects, and 270 solar rooftops at our facilities and stores around the world.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,"2023,",,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"In 2023 alone, 42 new utility-scale wind and solar projects and 50 new on-site solar energy systems became operational.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,2023,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"Collectively, our portfolio represents 28 gigawatts (GW) of renewable energy capacity, an increase from 20 GW in 2022.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,28,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"This portfolio provides carbon-free electricity to our operations, as well as delivers new carbonfree electricity to the grids in communities where we operate.",12,Scope 2: Indirect Emissions from Purchased Electricity,attribute,,,,,own operations,0.5,data/raw/amazon/2023_sustainability_report.pdf
Two of the most important ways we lower electricityrelated carbon emissions are by improving energy efficiency and transitioning to carbon-free energy.,12,Scope 2: Indirect Emissions from Purchased Electricity,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"To date, we have focused on scaling renewable energy; going forward, the nature of our business requires us to leverage additional carbon-free energy options—such as nuclear—to support our continued growth and enable us to develop and deploy new technologies such as AI.",12,Scope 2: Indirect Emissions from Purchased Electricity,attribute,hedged,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"We are also focused on creating new chips that are increasingly energy-efficient, such as AWS Graviton4, the most powerful and energy-efficient chip AWS has built.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Graviton4 is more energy efficient than Graviton3 processors while providing up to 30% better computing performance, 50% more cores, and 75% more memory bandwidth than Graviton3 processors.",12,Scope 2: Indirect Emissions from Purchased Electricity,other,,30%,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"By scaling carbon-free energy, we aim to make Amazon a more resilient and sustainable business, drive a global transition to cleaner energy, and achieve our commitment to The Climate Pledge to reach net-zero carbon emissions by 2040.",12,Scope 2: Indirect Emissions from Purchased Electricity,target,firm,,2040,2040,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"Scope 3 emissions include emissions from activities that take place beyond our direct operations, including building construction, third-party transportation, and the production of Amazon-branded products and the materials and components used in those products.",13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,other,,3,,,Scope 3,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, our Scope 3 emissions decreased by 5% from 2022 and represented 75% of our total carbon footprint.",13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,achievement,achievement,5%,2022,,Scope 3,1.0,data/raw/amazon/2023_sustainability_report.pdf
"In 2023, 29 Amazon building projects were constructed with lower-carbon concrete and steel, and collectively reduced embodied carbon by 79,500 metric tons of CO2e, equivalent to the emissions generated by 17,200 cars driven for a year.",13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,achievement,achievement,"79,500 metric tons",,,,0.33,data/raw/amazon/2023_sustainability_report.pdf
"Because Scope 3 emissions are beyond our direct operational control, the efforts our suppliers take to reduce their emissions help us progress toward our ambition to achieve net-zero carbon emissions by 2040.",13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,target,hedged,3,2040,2040,Scope 3,1.0,data/raw/amazon/2023_sustainability_report.pdf
We will prioritize working with suppliers who are also committed to decarbonization and reaching net-zero carbon emissions.,13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,attribute,firm,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"We have identified a list of the highest-emitting suppliers directly supporting our operations, and expect those suppliers, who collectively contribute more than 50% of emissions globally to Amazon’s Scope 3 footprint, to provide a plan for how they will decarbonize their operations and demonstrate real progress over time.",13,Amazon’s Carbon Footprint (MMT CO2e*) > Scope 3: Indirect Emissions from Other Sources,other,firm,50%,,,Scope 3; own operations; global,1.0,data/raw/amazon/2023_sustainability_report.pdf
