sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"We set bold, long-term aspirations, such as The Climate Pledge—our goal to reach net-zero carbon emissions across our global operations by 2040—and create strategic, actionable plans to achieve them.",3,About Amazon,target,firm,,,2040,,0.25,data/raw/amazon/2024_sustainability_report.pdf
"We’re also diversifying and expanding our carbon-free energy portfolio, which includes our first investments in nuclear energy, alongside maintaining our position as the world’s largest corporate purchaser of renewable energy for the fifth consecutive year.",4,A Letter from Our Chief Sustainability Officer,attribute,,,,,,0.0,data/raw/amazon/2024_sustainability_report.pdf
Through these complementary approaches—optimizing efficiency while scaling carbon-free energy—we’re creating a more sustainable foundation that AI needs to fulfill its world-changing potential.,4,A Letter from Our Chief Sustainability Officer,attribute,,,,,,0.0,data/raw/amazon/2024_sustainability_report.pdf
"Across our global operations, we eliminated all plastic air pillows and replaced them with recyclable paper filler.",4,A Letter from Our Chief Sustainability Officer,attribute,achievement,,,,,0.0,data/raw/amazon/2024_sustainability_report.pdf
We also reduced our total plastic packaging by 16.4%.,4,A Letter from Our Chief Sustainability Officer,achievement,achievement,16.4%,,,,0.33,data/raw/amazon/2024_sustainability_report.pdf
"As of today, over 550 companies have committed to The Climate Pledge and are choosing to come together to drive joint action and fast-track decarbonization solutions.",4,A Letter from Our Chief Sustainability Officer,target,firm,550,,,,0.25,data/raw/amazon/2024_sustainability_report.pdf
"Through The Climate Pledge , which we co-founded and committed to in 2019, our goal is to reach net-zero carbon emissions across our global operations by 2040, while inspiring and inviting others to take action.",8,Our Approach,target,firm,"2019,",,2040,,0.5,data/raw/amazon/2024_sustainability_report.pdf
"After two years of decreasing absolute carbon emissions, we saw a 6% increase in 2024.7 This is where carbon intensity helps us examine whether we’re employing the right solutions in the near term, and decoupling emissions from business growth.8 In 2024, we achieved a 4% reduction in carbon intensity compared to 2023, with 11% business growth during the same period.",9,Amazon’s Carbon Footprint (MMT CO₂e*),achievement,achievement,6%,2023,,,0.67,data/raw/amazon/2024_sustainability_report.pdf
"By the end of 2024, we had reduced the carbon emissions per shipped unit by roughly one-third since 2019.",9,Direct Emissions,target,achievement,"2024,",,2024,,0.5,data/raw/amazon/2024_sustainability_report.pdf
"In 2024, Prime members in the U.S. saved an estimated 452 million delivery trips, which helped avoid the use of more than 494 million boxes and the generation of 335,000 metric tons of CO2e.",9,Direct Emissions > • Offering customers shipping options that improve,other,,452 million,,,,0.5,data/raw/amazon/2024_sustainability_report.pdf
3.7 million gallons of blended sustainable aviation fuel (SAF).,9,"Direct Emissions > • Scaling lower-carbon fuels. In 2024, Amazon procured",attribute,,3.7 million,,,,0.5,data/raw/amazon/2024_sustainability_report.pdf
"Our direct emissions increased 6% compared to 2023, as our business continued to grow and we navigated global supply constraints for EVs and low-carbon fuels.",10,"Direct Emissions > • Scaling lower-carbon fuels. In 2024, Amazon procured",other,,6%,2023,,,0.5,data/raw/amazon/2024_sustainability_report.pdf
Two of the most effective ways we manage indirect emissions from purchased electricity are by transitioning to carbon-free energy sources and by improving energy efficiency.,10,Direct Emissions > Indirect Emissions from Purchased Electricity,attribute,,,,,,0.0,data/raw/amazon/2024_sustainability_report.pdf
"Nuclear power is a key component of our carbon-free energy strategy, in addition to using renewable energy sources such as wind and solar.",10,Direct Emissions > Indirect Emissions from Purchased Electricity,attribute,,,,,,0.0,data/raw/amazon/2024_sustainability_report.pdf
