sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"More specifically, we support and aspire to the EMF vision for a circular fashion industry, where products are designed to be used more, made to be made again, and made from safe and recycled or renewable inputs.",4,Some words and phrases used in this report,attribute,hedged,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"More sustainably sourced, sourced in a more sustainable way or more sustainable describes materials or raw material production, processes, our overall operational activity, or that of our suppliers that have a reduced negative environmental impact compared to conventional alternatives.",4,Some words and phrases used in this report,attribute,achievement,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"We further define more sustainably sourced for different materials in our Material Categorisation, Responsible Raw Material Sourcing Policy and Animal Welfare Policy.",4,Some words and phrases used in this report,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Preferred transport options refers to modes of transport including 100% biofuel, electric and zero emissions vehicles1.",5,Some words and phrases used in this report,attribute,,100%,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"Reverse supply chain is a term for a system that brings used products, materials and production waste back into circulation either as second-hand products, or to be reused or recycled and diverted back into the production system as valuable resources.",5,Some words and phrases used in this report,attribute,,,,,supply chain,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
1) A zero-emissions vehicle is one that does not emit exhaust gas or other pollutants when operational.,5,Some words and phrases used in this report,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"To reach our ambitious climate goals of halving the group’s greenhouse gas emissions by 2030 and achieving net-zero by 2040, we invest in projects to reduce greenhouse gas emissions throughout our whole value chain.",7,CEO letter,target,,"2040,",,2030,value chain,0.75,data/raw/hm/2022_sustainability_report.pdf,False,False
"Our investments have in a short time created significant value, for example by improving the customer experience and enabling scaling and commercialisation of recycled and more sustainably sourced materials.",8,CEO letter,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
RECYCLED OR OTHER MORE SUSTAINABLY SOURCED MATERIALS IN OUR COMMERCIAL GOODS.,11,H&M Group at a glance,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"As of January 2023, we have 17 approved projects with a potential annual reduction of 50,000 tonnes CO2e in our supply chain, and a potential additional reduction of approximately 140,000 tonnes beyond our own value chain.",14,Sales and stores per region > Green Fashion Initiative,other,,"50,000 tonnes",,,value chain; supply chain,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
