sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"This report covers our performance against our net zero, people and planet aims.",3,"An online reference  Definitions in the glossary, pages 59-60 > Our approach",attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Sustainability Embedded across our strategy is our sustainability frame, which sets out our aims for getting to net zero, improving people’s lives and caring for our planet.",4,Our strategy and performance,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Our refineries in Germany and Spain now have units producing sustainable aviation fuel.,5,Transition growth engines > Sustainability at bp,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"In just three years, annual investment in our transition growth engines – bioenergy, convenience, EV charging, hydrogen, renewables and power – has gone from 3% to 30% of total bp capital investment spend.",5,Transition growth engines > Sustainability at bp,other,,3%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We plan to invest an additional $8 billion by 2030 into our transition growth engines including EV chargers and sustainable aviation fuels that can help people and businesses decarbonize sooner.,5,"changing company A changing world, a > A faster but orderly transition",target,hedged,8 billion,2030,2030,,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
"Overall, we remain focused on our net zero ambition and the flexibility and resilience in our strategy is allowing it to respond to change while remaining consistent with the Paris goals.",5,"changing company A changing world, a > The right direction",target,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Following our update on strategic progress in February 2023, we made an adjustment to our aim 2 (net zero production).",6,"changing company A changing world, a > In action on our net zero aims",attribute,hedged,"2023,",,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We also made progress in our aims 6-10 to help the world get to net zero, including advocating for policies that support net zero.",6,"changing company A changing world, a > In action on our net zero aims",attribute,hedged,6,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In Scotland, we have invested over £1 million with our partner EnBW to support training and reskilling in the offshore wind industry.",6,"changing company A changing world, a > In action on our people aims",other,hedged,1 million,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We are in action on the aims we set ourselves for net zero, people and planet – with some tangible results.",6,"changing company A changing world, a > In action on our people aims",attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our sustainability frame guides our decisions and actions so that our focus areas of getting to net zero, improving people’s lives and caring for our planet become increasingly integral to how we create value.",7,Total economic value generated by bp $246.7bn > Value creation,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Since launching our net zero aims in 2020 and our people and planet aims in 2021, we have been in action to deliver them.",8,"Electric vehicle charge points ~22,000 > Sustainability at bp",attribute,hedged,"2021,",,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"The UK introduced the energy profits levy, increasing the taxes we pay on our North Sea profits from 40% to 65% in 2022 and to 75% in 2023.",13,Our approach: foundations and embedding sustainability > Tax transparency,other,,40%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We strengthened our development offer throughout 2022 as we evolved to meet the demands of the energy transition.,14,Our approach: foundations and embedding sustainability > Developing our people,target,,,,2022,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
In 2022 we carried out project activities in international protected areas in the context of both the UK Net Zero Teesside project and the French Frontignan Terminal sealines decommissioning project.,15,Our approach: foundations and embedding sustainability > Read more: bp.com/biodiversityposition,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"We disposed of around 305kt of hazardous and non-hazardous waste in 2022, a 13% increase from 2021 (270kt).",15,Our approach: foundations and embedding sustainability > Read more: bp.com/biodiversityposition,other,,13%,2021,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
