sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"In our pursuit of becoming a carbon negative, water positive, and zero waste company that protects ecosystems, the context has evolved, and so must our approach.",4,Responsibly building the AI future,attribute,firm,,,,,0.0,data/raw/microsoft/2025_sustainability_report.pdf
"Our total emissions (Scopes 1, 2, and 3) increased 25% year over year, driven primarily by the expansion of our datacenter infrastructure and pausing our use of non-additional, unbundled renewable energy certificates as we prioritize investments that bring net new power to grids.",6,Responsibly building the AI future > Progress amid growth,other,,25%,,,,0.5,data/raw/microsoft/2025_sustainability_report.pdf
"Scope 3 remains the largest share of our footprint overall, but one of the clearest changes this year was the growing contribution of Scope 2, which represents 13% of our total emissions—up from nearly 2% last year.",6,Responsibly building the AI future > Progress amid growth,other,,13%,,,Scope 2; Scope 3,1.0,data/raw/microsoft/2025_sustainability_report.pdf
"In FY25, we matched 100% of our annual global electricity consumption with renewable energy.",6,Responsibly building the AI future > Progress amid growth,other,,100%,,,,0.5,data/raw/microsoft/2025_sustainability_report.pdf
"In FY25, we replenished for the first time more water globally than we withdrew—more than 14 million cubic meters—marking a major milestone on our journey to become water positive.",7,Responsibly building the AI future > Foreword continued,other,,14 million,,,global,1.0,data/raw/microsoft/2025_sustainability_report.pdf
"Microsoft has eliminated nearly all single-use plastics in our primary product packaging, reducing the share that remained to just 0.07% at the end of calendar year 2025.4 But we are not rounding down.",7,Responsibly building the AI future > Foreword continued,achievement,achievement,0.07%,,,,0.33,data/raw/microsoft/2025_sustainability_report.pdf
"Across our cloud operations, we achieved 92% reuse and recycling of decommissioned servers and components for the second consecutive year, diverted 90.5% of construction and demolition waste from landfills and incinerators, and expanded our Circular Centers to seven facilities globally.",7,Responsibly building the AI future > Foreword continued,achievement,achievement,92%,,,global,0.67,data/raw/microsoft/2025_sustainability_report.pdf
Clean energy investments are essential to decarbonization.,7,Responsibly building the AI future > Foreword continued,attribute,,,,,,0.0,data/raw/microsoft/2025_sustainability_report.pdf
"At Microsoft, that means designing infrastructure, products, and operations to reduce resource demand before it has to be managed, replenished, recycled, or removed.",9,Improving efficiency,attribute,,,,,,0.0,data/raw/microsoft/2025_sustainability_report.pdf
"In 2020, we launched Microsoft’s Climate Innovation Fund, a $1 billion investment mandate designed to help promising sustainability solutions move toward commercial scale.",9,Building markets,achievement,achievement,1 billion,,,,0.33,data/raw/microsoft/2025_sustainability_report.pdf
