sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"In the Environment section, we discuss scaling our work, partnering with others, and inventing new solutions to minimize our emissions, waste, and water use; increasing our use of carbon-free energy; and pioneering solutions to improve packaging, products, and the materials we use.",3,About This Report,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"In the Value Chain section, we discuss our commitment to respect the human rights of people connected to our global business, managing a responsible supply chain, creating sustainable products and using more sustainable materials, advancing supplier diversity, and having a positive impact on the communities where we operate.",3,About This Report,attribute,firm,,,,value chain; supply chain,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We set big goals and work backward to achieve them, such as The Climate Pledge, our goal to reach netzero carbon emissions by 2040, 10 years ahead of the Paris Agreement.",3,Introduction About Amazon,target,firm,"2040,",2040,2040,,0.75,data/raw/amazon/2023_sustainability_report.pdf
"On renewable energy, we set an ambitious goal to match 100% of the electricity consumed by our global operations with renewable energy by 2030, and we reached that goal in 2023—seven years early.",4,A Letter from Our Chief Sustainability Officer,target,achievement,100%,,2030,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"As we look to the future, we are steadfast in our Climate Pledge commitment to be net-zero carbon across our operations by 2040.",4,A Letter from Our Chief Sustainability Officer,target,firm,,,2040,own operations,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We will continue to lead and invest in creating carbon-free energy around the world at scale, including through solar, wind, nuclear, and other emerging energy technologies.",4,A Letter from Our Chief Sustainability Officer,attribute,firm,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Our progress toward a net-zero carbon business will not be linear, and each year as our various businesses grow and evolve, we will produce different results.",4,A Letter from Our Chief Sustainability Officer,attribute,firm,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
"Over the past five years, we’ve done this by encouraging companies to join The Climate Pledge—and we’re proud that over 500 have joined us and committed to be net-zero carbon 10 years ahead of the Paris Agreement.",4,A Letter from Our Chief Sustainability Officer,target,firm,500,,,,0.25,data/raw/amazon/2023_sustainability_report.pdf
A number below 100% indicates AWS is still working to meet the water positive goal.,6,Our Business,other,,100%,,,,0.5,data/raw/amazon/2023_sustainability_report.pdf
"We are working to innovate and scale solutions that minimize our emissions, waste, and water usage; increase our use of carbon-free energy; and pioneer new approaches for packaging, materials, and products..",8,Nearly 16.5K > In This Section,attribute,,,,,,0.0,data/raw/amazon/2023_sustainability_report.pdf
