sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"We set bold, long-term aspirations, such as The Climate Pledge—our goal to reach net-zero carbon emissions across our global operations by 2040—and create strategic, actionable plans to achieve them.",2,About Amazon and This Report,target,firm,,,2040,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"For Amazon’s work in sustainability, we laid out our long-term vision starting back in 2015 when we first suggested net-zero goals in a planning meeting, which culminated in setting The Climate Pledge in 2019.",3,A Letter from Our Chief Sustainability Officer,target,firm,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
We were investing heavily in clean energy for many years before it became a dinner table conversation.,3,A Letter from Our Chief Sustainability Officer,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"We also have more buildings than any other cloud provider using reclaimed water, and we’re investing in water replenishment projects around the world that have helped us get 75% of the way toward our goal to be water positive by 2030.",3,A Letter from Our Chief Sustainability Officer,target,,75%,,2030,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"When disasters strike, we use our delivery infrastructure to move life-saving resources and support first responders, including committing to provide over 2,000 free rapid response technology systems that deliver power, connectivity, and water after disasters in minutes to nonprofit partners at no cost by 2027.",3,A Letter from Our Chief Sustainability Officer,target,hedged,"2,000",,2027,,0.5,data/raw/amazon/2025_sustainability_report.pdf
We are committed to sourcing carbon-free energy and returning more water to our communities than we withdraw for our data center operations.,6,Responsible AI,attribute,firm,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"Our approach is grounded in climate science and centers on The Climate Pledge , our commitment to reach net-zero carbon emissions across our global operations by 2040.",7,Our Approach,target,firm,,,2040,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"We aim to achieve net-zero carbon emissions through decarbonization of our operations and supply chain, then neutralizing any residual emissions.",7,Our Approach,attribute,hedged,,,,own operations; supply chain,0.5,data/raw/amazon/2025_sustainability_report.pdf
"When we co-founded The Climate Pledge in 2019, and encouraged other companies to join us, we anticipated that continued business growth, operational transformation, and investment in climate innovation could mean near-term increases in emissions before longer-term reductions.",7,Our Carbon Footprint,target,firm,"2019,",,,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"From 2024 to 2025, absolute emissions increased 16% and carbon intensity increased 3%.4,5 Yet, since 2019, overall carbon intensity has decreased 38% even as we significantly expanded the products, services, and deliveries we provided to customers, demonstrating that we are decoupling growth from emissions, in line with our longer-term strategy.",7,Our Carbon Footprint,other,,16%,2024,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Our supply chain emissions account for 76% of our carbon footprint, and these emissions increased 20% compared to 2024.",7,Our Carbon Footprint > Supply Chain Emissions,other,,76%,2024,,supply chain,1.0,data/raw/amazon/2025_sustainability_report.pdf
"85% of direct manufacturing spend for Echo, Kindle, Fire Tablet, Fire TV, Ring, Blink, and eero devices and accessories—in developing renewable energy implementation plans.",8,Our Carbon Footprint > Supply Chain Emissions,other,,85%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Additionally, Amazon Grocery received 71 commitments from suppliers, affirming their intention to implement carbon reduction solutions and Amazon Private Brands worked with 52 suppliers to reduce their carbon footprints by supporting the implementation of new carbon-free energy projects or verifying supplier-driven initiatives.",8,Our Carbon Footprint > Supply Chain Emissions,attribute,,71,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"To advance clean energy adoption at scale, Amazon helped found the Corporate Energy Buyers Association’s (CEBA) Clean Energy Procurement Academy, which trained more than 100 supplier representatives across China and Vietnam in 2025.",8,Our Carbon Footprint > Supply Chain Emissions,attribute,,100,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We also enabled 11 suppliers to accelerate their energy transition through rooftop solar, green energy procurement, and renewable energy certificates.",8,Our Carbon Footprint > Supply Chain Emissions,attribute,,11,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In early 2025, we launched a carbon credits service on our Sustainability Exchange to offer high-quality carbon credits to Amazon suppliers, Amazon enterprise customers, and U.S.-based signatories of The Climate Pledge.",8,Our Carbon Footprint > Supply Chain Emissions,target,firm,"2025,",,,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"As of the end of 2025, credits were available to companies that have set a net-zero carbon emissions target (covering Scope 1, 2, and 3 emissions) for no later than 2050 and that measure and publicly report their carbon footprint on a regular basis.",8,Our Carbon Footprint > Supply Chain Emissions,target,,"2025,",,2050,Scope 1,0.75,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, 61 building projects across Amazon— including data centers and fulfillment centers— incorporated lower-carbon building materials, such as mass timber and lower-carbon concrete, steel, and aluminum, avoiding 195,000 metric tons of embodied CO₂e compared to traditional construction materials.",9,2025 Climate and Energy Highlights,other,,"195,000 metric tons",,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"For shipments that are transported by plane, we are investing in sustainable aviation fuel (SAF)—a lower-carbon alternative to conventional jet fuel that can reduce lifecycle emissions by up to 80% .",9,2025 Climate and Energy Highlights > Scaling Lower-Carbon Alternatives,attribute,,80%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We purchased lower-emission biofuel services representing the maritime transportation of 14% of our ocean cargo, in alignment with industry goals from the First Movers Coalition and the Zero Emission Maritime Buyers Alliance (ZEMBA) .",9,2025 Climate and Energy Highlights > Scaling Lower-Carbon Alternatives,attribute,,14%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Where we have direct operational control—primarily our owned delivery network—emissions increased 2% compared to 2024, while we delivered more packages to more customers.",9,Emissions from Our Direct Operations,achievement,achievement,2%,2024,,,0.67,data/raw/amazon/2025_sustainability_report.pdf
"Emissions from our direct operations represent 19% of our carbon footprint, and we reduce them through delivery network efficiencies, scaling electric vehicles (EVs), and deploying lower-carbon fuels.",9,Emissions from Our Direct Operations,other,firm,19%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"For Amazon’s vehicles that are not yet electrified, we purchased 3.6 million gallons of renewable diesel—a lowercarbon fuel made from waste fats and oils— 1.1 million fewer gallons than in 2024 due to availability.",9,Emissions from Our Direct Operations,other,,3.6 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We also purchased 39.5 million gallons of renewable natural gas for use in 4,400 compressed natural gas vehicles in 2025.",9,Emissions from Our Direct Operations,other,,39.5 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Indirect emissions from purchasing electricity represent 5% of our total carbon footprint and increased 34% in 2025, driven by electricity use in data centers, electrification of our delivery network, and building electrification.",10,Emissions from Purchased Electricity,other,,5%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
Two of the most effective ways we reduce electricity-related emissions are improving energy efficiency and scaling carbon-free energy.,10,Emissions from Purchased Electricity,attribute,firm,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
This approach reduces mechanical energy consumption compared to traditional cooling methods by up to 50% during peak cooling—without increasing water usage on a per MW basis.,10,Emissions from Purchased Electricity,other,,50%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Carbon-free energy includes renewable energy technologies, such as wind and solar farms, on-site rooftop solar systems, hydroelectric, geothermal, and nuclear energy.",10,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"There is no one-size-fits-all solution when it comes to transitioning to carbon-free energy, and we believe that all viable and scalable options should be considered.",10,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,hedged,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"The transition to carbon-free energy creates meaningful economic opportunities in communities where energy projects are built and operated, while also driving the modernization and resilience of energy infrastructure.",10,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"BloombergNEF continues to recognize Amazon as one of the world's leading corporate purchasers of carbon-free energy, in addition to building the largest carbon-free energy portfolio of any corporation globally.",10,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,,,,,global,0.5,data/raw/amazon/2025_sustainability_report.pdf
"To meet our climate commitments and growing energy demands—particularly for AI and cloud services—we are building a diverse carbon-free energy portfolio through solar, wind, and nuclear investments.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"In the future, we will report on the percentage of carbon-free energy used to power our operations.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,firm,,,,own operations,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We also expanded our existing nuclear energy relationship with Talen Energy , which will provide 1,900 MW of carbon-free nuclear power through 2042, with options to extend.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,target,firm,"1,900",,2042,,0.5,data/raw/amazon/2025_sustainability_report.pdf
We are continuing to expand battery capacity to collect and store carbon-free energy to use when other energy sources may be unavailable—such as at night or during periods of high demand—to support grid stability.,11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,attribute,hedged,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"By the end of 2025, Amazon had 15 solar energy projects paired with battery energy storage systems, representing 2.3 GW of capacity, up from 2.1 GW in 2024.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,target,,"2025,",,2025,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We set a goal to invest in new renewable energy capacity to match the electricity used by our customers' Echo, Fire TV, and Ring devices by 2025.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,target,,,,2025,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"By 2022, we had contracted enough renewable energy capacity to meet our 2025 projections.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,target,,"2022,",,2022,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We matched 100% of the electricity used by active Echo, Fire TV, and Ring devices in 2024 and 2025, and we aim to keep matching this electricity use going forward.",11,Emissions from Purchased Electricity > Scaling Carbon-Free Energy,other,hedged,100%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Since 2016, the program has saved over 1.6 billion kilowatthours (kWh), generated $7.2 million in utility rebates, and avoided nearly 1.2 million metric tons of CO2e.",11,Emissions from Purchased Electricity > Implementing Efficiency Initiatives in Our Buildings,achievement,achievement,1.6 billion,,,,0.33,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, the program reached significant milestones in scale and energy efficiency by optimizing lighting load demands and introducing advanced lighting controls at 32 sites, which saved 10 million kWh and avoided 7,000 metric tons of CO₂e.",11,Emissions from Purchased Electricity > Implementing Efficiency Initiatives in Our Buildings,achievement,achievement,10 million,,,,0.33,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, we reduced energy consumption by 131 million kWh and avoided 38,000 metric tons of CO2e, in addition to saving 62 million kWh and avoiding 24,000 metric tons of CO2e in 2024.",11,Emissions from Purchased Electricity > Implementing Efficiency Initiatives in Our Buildings,achievement,achievement,131 million,,,,0.33,data/raw/amazon/2025_sustainability_report.pdf
"To account for residual emissions on our path to net-zero, we are investing in credible carbon neutralization projects across four areas: reducing deforestation, advancing nature-based removal, scaling removal technologies, and abating super pollutants.",11,Carbon Neutralization,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, we expanded our carbon neutralization strategy to explore super pollutant segments like rice methane abatement and refrigerant destruction, recognizing the importance of addressing methane and other high-GWP greenhouse gases for achieving global climate targets.",11,Carbon Neutralization,attribute,hedged,"2025,",,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
Amazon co-founded The Climate Pledge in 2019 as both a commitment and a catalyst—bringing companies together to reach net-zero carbon emissions by 2040.,12,Driving Collective Action > Catalyzing Industry Action and Innovation through The Climate Pledge,target,firm,,2040,2040,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In Brazil, the Laneshift e-Dutra Coalition— comprising C40 Cities, Smart Freight Centre, CALSTART, and other organizations—launched a project to deploy electric trucks and charging infrastructure along the Rio de Janeiro–São Paulo corridor, with the goal of 1,000 electric trucks operating daily by 2030.",12,"Driving Collective Action > • Electrifying Drayage Alliance (EDA), a partnership",target,achievement,"1,000",,2030,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Many technologies critical to decarbonization—including EVs, carbon-free energy, and lower-carbon fuels and materials—remain more expensive than legacy alternatives, in part because developers face capital constraints and policy risks that raise financing costs and slow deployment.",13,Catalyzing Climate Finance,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"Through the Climate Pledge Fund —our $2 billion venture investment program launched in 2020—we have invested in companies developing climate solutions across transportation, logistics, energy, and manufacturing.",13,Catalyzing Climate Finance,target,firm,2 billion,,,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"We do this by scaling lower-carbonemissions fuels, advancing zero-tailpipe-emission vehicle deployment and associated infrastructure, and driving the deployment of carbon-free energy.",13,Supporting Policies that Drive Decarbonization,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, Amazon Private Brands used 17% recycled polyester in apparel and 100% of the cotton used in apparel was from more sustainable sources.",13,Lower-Carbon Products,attribute,,17%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Amazon devices and highlight each product's specific sustainability features, recycled material contents, and carbon footprints, which we calculate using Amazon Devices Product Carbon Footprint Methodology .",13,Lower-Carbon Products,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, we expanded our global water metering and leak detection program to 330 sites, which we expect to save 83 million liters of water annually.",14,Our Progress,other,,83 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2022, Amazon announced our goal of being water positive—returning more water to communities than we use—across global direct data center operations by 2030.",14,Water Positive Data Centers,target,,"2022,",,2030,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, Amazon’s global leased, owned, and shared data centers withdrew 9.4 billion liters of water.",14,Water Positive Data Centers,other,,9.4 billion,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, 48% of our total water withdrawals for our leased and owned data centers occurred in regions classified as low water stress, and 22% occurred in regions classified as high or extremely high water stress.",15,Water Positive Data Centers,other,,48%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Where weather permits, we use Direct Evaporative Cooling, which requires water for less than 10% of the year.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Advancing Water Efficiency,other,,10%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"As we add more AI racks with IRHX, we expect a 9% reduction in water use compared to evaporative air-cooled data centers once fully operational.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Advancing Water Efficiency,other,,9%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Collectively, these and other efforts reduced cooling water use globally by 938 million liters in 2025, enabling reduction of our global data center WUE to 0.12 liters per kWh, a 20% improvement from 2024 and a 52% improvement from 2021.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Advancing Water Efficiency,achievement,achievement,938 million,2025,,global,1.0,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, 26 Amazon data centers used reclaimed water for cooling, preserving 849 million liters of potable water for communities and ecosystems.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Scaling Responsible Water Sources for Cooling,other,,849 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Altogether, we expect these commitments to preserve 6 billion liters of fresh water for community use annually.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Scaling Responsible Water Sources for Cooling,other,,6 billion,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Across both operating and contracted reclaimed water systems, we plan to invest $1 billion in public water infrastructure and treatment upgrades.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Scaling Responsible Water Sources for Cooling,other,hedged,1 billion,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In Mississippi, U.S., Amazon became the first data center operator to commit to reclaimed water for cooling, working with Canton Municipal Utilities and Madison County Wastewater Authority to preserve 314 million liters of potable water annually while establishing a scalable model across the state.",15,Data Center Water Withdrawal in Water-Stressed Regions17 > Scaling Responsible Water Sources for Cooling,target,firm,314 million,,,,0.25,data/raw/amazon/2025_sustainability_report.pdf
"India faces some of the world’s highest levels of water stress, holding 18% of the global population but only 4% of global fresh water resources .",16,Water Positive in India,other,,18%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2024, we expanded our water commitments by establishing a new goal to become water positive across our direct operations in India by 2027, which includes operations buildings, corporate offices, and data centers.",16,Water Positive in India,target,,"2024,",,2027,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, we were 120% water positive in India, achieving our goal two years early.",16,Water Positive in India,other,,120%,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, on-site rainwater harvesting pits collected approximately 178 million liters of water, which percolated back to groundwater, replenishing local water sources.",16,Water Positive in India,other,,178 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"At the end of 2025, we had invested in 45 replenishment projects globally, which we expect will collectively return more than 18 billion liters of water annually once completed.",16,Replenishment across Amazon,other,firm,18 billion,,,global,1.0,data/raw/amazon/2025_sustainability_report.pdf
"In 2025, water replenishment projects returned 9.4 billion liters of water to communities.",16,Replenishment across Amazon,other,,9.4 billion,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"We initially anticipated replenishing 2.5 billion liters of water annually once fully implemented, but early results show that we are on track to exceed those expectations.",16,Replenishment across Amazon,other,,2.5 billion,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
We expect this project to replenish 400 million liters of water annually.,16,Replenishment across Amazon,other,,400 million,,,,0.5,data/raw/amazon/2025_sustainability_report.pdf
"Farmers can use recycled water for irrigation or washing, promoting water conservation on the farm.",16,Supply Chain Water Use,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
Traded-in devices are either refurbished and resold or responsibly recycled through certified partners.,17,Use Resources Efficiently > • Continuing our product lifecycle support: Our Product,attribute,,,,,,0.0,data/raw/amazon/2025_sustainability_report.pdf
